"Date","Price","Open","High","Low","Vol.","Change %"
"10/23/2024","4.213","4.322","4.327","4.122","8.28M","-2.54%"
"10/22/2024","4.322","4.378","4.435","4.279","14.47M","-1.27%"
"10/21/2024","4.378","4.578","4.610","4.338","8.56M","-4.35%"
"10/20/2024","4.577","4.431","4.593","4.359","3.88M","3.30%"
"10/19/2024","4.431","4.309","4.481","4.309","7.92M","2.84%"
"10/18/2024","4.309","4.193","4.309","4.174","6.72M","2.77%"
"10/17/2024","4.193","4.316","4.348","4.150","25.22M","-2.85%"
"10/16/2024","4.316","4.406","4.409","4.291","7.58M","-2.04%"
"10/15/2024","4.406","4.377","4.532","4.308","15.69M","0.66%"
"10/14/2024","4.377","4.161","4.397","4.136","9.86M","5.17%"
"10/13/2024","4.161","4.206","4.215","4.090","15.80M","-1.10%"
"10/12/2024","4.208","4.170","4.261","4.154","5.44M","0.91%"
"10/11/2024","4.170","4.071","4.195","4.055","5.51M","2.46%"
"10/10/2024","4.070","4.024","4.073","3.974","110.57M","1.14%"
"10/09/2024","4.024","4.103","4.149","3.959","11.04M","-1.92%"
"10/08/2024","4.103","4.131","4.182","4.076","7.54M","-0.70%"
"10/07/2024","4.131","4.190","4.270","4.129","8.92M","-1.39%"
"10/06/2024","4.190","4.140","4.194","4.104","3.88M","1.19%"
"10/05/2024","4.140","4.193","4.232","4.079","4.24M","-1.26%"
"10/04/2024","4.193","4.129","4.210","4.110","7.37M","1.57%"
"10/03/2024","4.129","4.102","4.170","3.997","11.67M","0.64%"
"10/02/2024","4.102","4.157","4.267","4.012","11.69M","-1.32%"
"10/01/2024","4.157","4.436","4.561","4.081","70.82M","-6.29%"
"09/30/2024","4.436","4.767","4.769","4.407","46.05M","-6.94%"
"09/29/2024","4.767","4.797","4.851","4.690","5.66M","-0.63%"
"09/28/2024","4.797","4.885","4.926","4.753","5.73M","-1.81%"
"09/27/2024","4.885","4.816","4.961","4.812","30.03M","1.43%"
"09/26/2024","4.816","4.637","4.874","4.569","76.48M","3.87%"
"09/25/2024","4.637","4.636","4.769","4.597","9.54M","-0.03%"
"09/24/2024","4.638","4.458","4.677","4.404","39.70M","4.05%"
"09/23/2024","4.458","4.312","4.460","4.246","8.50M","3.39%"
"09/22/2024","4.312","4.462","4.476","4.242","5.83M","-3.37%"
"09/21/2024","4.462","4.340","4.472","4.287","5.90M","2.81%"
"09/20/2024","4.340","4.255","4.398","4.192","10.81M","2.00%"
"09/19/2024","4.255","4.172","4.347","4.172","11.20M","2.00%"
"09/18/2024","4.172","4.158","4.174","3.980","17.34M","0.33%"
"09/17/2024","4.158","4.195","4.280","4.140","7.87M","-0.87%"
"09/16/2024","4.194","4.397","4.397","4.151","7.63M","-4.60%"
"09/15/2024","4.397","4.436","4.556","4.368","7.07M","-0.90%"
"09/14/2024","4.436","4.422","4.444","4.349","4.43M","0.31%"
"09/13/2024","4.422","4.294","4.467","4.277","7.89M","2.99%"
"09/12/2024","4.294","4.191","4.299","4.190","5.30M","2.44%"
"09/11/2024","4.191","4.252","4.255","4.068","25.10M","-1.50%"
"09/10/2024","4.255","4.287","4.287","4.202","4.42M","-0.74%"
"09/09/2024","4.287","4.161","4.332","4.114","6.73M","3.03%"
"09/08/2024","4.161","4.080","4.203","4.061","3.61M","2.00%"
"09/07/2024","4.080","3.959","4.130","3.937","8.00M","3.05%"
"09/06/2024","3.959","4.021","4.094","3.830","9.66M","-1.54%"
"09/05/2024","4.021","4.112","4.126","3.977","15.74M","-2.23%"
"09/04/2024","4.112","4.061","4.188","3.912","16.92M","1.26%"
"09/03/2024","4.061","4.207","4.278","4.059","5.62M","-3.48%"
"09/02/2024","4.207","4.076","4.225","4.062","7.00M","3.22%"
"09/01/2024","4.076","4.257","4.258","4.046","9.55M","-4.24%"
"08/31/2024","4.257","4.278","4.314","4.227","8.23M","-0.51%"
"08/30/2024","4.278","4.245","4.327","4.115","32.82M","0.80%"
"08/29/2024","4.245","4.254","4.392","4.199","37.77M","-0.39%"
"08/28/2024","4.261","4.380","4.445","4.201","13.39M","-2.71%"
"08/27/2024","4.380","4.563","4.657","4.265","15.57M","-4.03%"
"08/26/2024","4.564","4.824","4.859","4.541","22.24M","-5.47%"
"08/25/2024","4.827","4.983","4.984","4.762","12.28M","-3.05%"
"08/24/2024","4.979","4.898","5.092","4.847","12.95M","1.66%"
"08/23/2024","4.898","4.690","4.942","4.686","14.20M","4.41%"
"08/22/2024","4.691","4.664","4.711","4.608","11.99M","0.57%"
"08/21/2024","4.664","4.524","4.746","4.509","10.61M","3.11%"
"08/20/2024","4.524","4.482","4.601","4.465","11.35M","1.03%"
"08/19/2024","4.478","4.397","4.493","4.347","7.04M","1.84%"
"08/18/2024","4.397","4.366","4.511","4.350","8.41M","0.72%"
"08/17/2024","4.366","4.285","4.538","4.275","7.85M","1.88%"
"08/16/2024","4.285","4.276","4.384","4.229","6.72M","0.21%"
